70150 0605202046TRUE TRUE FALSETRUE FALSEFALSE
4800400531202082TRUE FALSETRUE TRUE FALSEFALSE
4802500727202082TRUE FALSETRUE TRUE FALSEFALSE
4803700803202082TRUE FALSETRUE TRUE FALSEFALSE
4810800603202081TRUE FALSETRUE TRUE FALSEFALSE
4809500626202082TRUE FALSETRUE TRUE FALSEFALSE
4801900430202076TRUE FALSETRUE TRUE FALSEFALSE
26160 0312202043TRUE FALSETRUE FALSEFALSEFALSE
4809600531202081TRUE FALSETRUE TRUE FALSEFALSE
4801900607202080TRUE FALSETRUE TRUE FALSEFALSE
4803000424202062TRUE FALSETRUE TRUE FALSEFALSE
3780100611202052TRUE FALSETRUE TRUE FALSEFALSE
4065800117202057TRUE FALSETRUE FALSEFALSEFALSE
3760900416202036TRUE FALSETRUE FALSEFALSEFALSE
4810900427202082TRUE FALSETRUE TRUE FALSEFALSE
4327500729202080TRUE FALSETRUE TRUE FALSEFALSE
5784500516202068TRUE FALSETRUE FALSEFALSEFALSE
4804200605202084TRUE FALSETRUE TRUE FALSEFALSE
4805700602202073TRUE FALSETRUE TRUE FALSEFALSE
4810800604202081TRUE FALSETRUE TRUE FALSEFALSE
7668300710202064TRUE FALSETRUE TRUE FALSEFALSE
3337700123202031TRUE TRUE TRUE FALSEFALSEFALSE
1359000731202080TRUE TRUE FALSETRUE FALSEFALSE
4251600526202069TRUE FALSETRUE TRUE FALSEFALSE
4811000425202081TRUE FALSETRUE TRUE FALSEFALSE
3532500429202046TRUE FALSETRUE FALSEFALSEFALSE
5908700326202071TRUE FALSETRUE FALSEFALSEFALSE
6073900716202074TRUE FALSETRUE FALSEFALSEFALSE
1359400323202032TRUE TRUE FALSETRUE FALSEFALSE
4251200306202067TRUE FALSETRUE TRUE FALSEFALSE
2741700224202035TRUE TRUE TRUE FALSEFALSEFALSE
4808000518202088TRUE FALSETRUE TRUE FALSEFALSE
6446200319202079TRUE TRUE FALSEFALSEFALSEFALSE
4060800403202061TRUE FALSETRUE TRUE FALSEFALSE
3332500224202036TRUE FALSETRUE FALSEFALSEFALSE
2665300228202031TRUE TRUE TRUE FALSEFALSEFALSE
4308100630202083TRUE FALSETRUE TRUE FALSEFALSE
9669500723202077TRUE FALSETRUE TRUE FALSEFALSE
6374100328202066TRUE FALSETRUE TRUE FALSEFALSE
2223500111202018TRUE FALSETRUE FALSEFALSEFALSE
2655400224202035TRUE FALSETRUE FALSEFALSEFALSE
4811000606202081TRUE FALSETRUE TRUE FALSEFALSE
2655400122202035TRUE TRUE TRUE FALSEFALSEFALSE
4003000208202045TRUE FALSETRUE TRUE FALSEFALSE
2665300122202035TRUE FALSETRUE FALSEFALSEFALSE
3441500123202031TRUE TRUE TRUE FALSEFALSEFALSE
2665300224202036TRUE FALSETRUE FALSEFALSEFALSE
2685500123202033TRUE TRUE TRUE FALSEFALSEFALSE
2276800426202033TRUE FALSETRUE FALSEFALSEFALSE
3682100213202030TRUE FALSETRUE FALSEFALSEFALSE
5873100308202060TRUE FALSETRUE FALSEFALSEFALSE
2732100122202030TRUE TRUE TRUE FALSEFALSEFALSE
5783200516202070TRUE FALSETRUE FALSEFALSEFALSE
5785300630202085TRUE FALSETRUE FALSEFALSEFALSE
5779300326202068TRUE FALSETRUE FALSEFALSEFALSE
5910200601202078TRUE FALSETRUE FALSEFALSEFALSE
2291700430202034TRUE FALSETRUE FALSEFALSEFALSE
3043300512202039TRUE FALSETRUE TRUE FALSEFALSE
